task,optimizer,n,loss_mean,metric_mean,seconds_mean,state_mb_mean,ok
rosenbrock100,fanosv2,5,34.431812572479245,5.611321568489075,2.512841533200117,0.000762939453125,5
rosenbrock100,adamw,5,1600.6707275390625,9.523882198333741,0.6520634749991586,0.000766754150390625,5
rosenbrock100,sgd,5,nan,nan,0.5430257920001168,0.0003814697265625,3
rosenbrock100,rmsprop,5,1.613930793479085,0.7583174407482147,0.6643745420005871,0.000766754150390625,5
ill_conditioned_quadratic,fanosv2,5,nan,nan,0.0,0.0,0
ill_conditioned_quadratic,adamw,5,nan,nan,0.0,0.0,0
ill_conditioned_quadratic,sgd,5,nan,nan,0.0,0.0,0
ill_conditioned_quadratic,rmsprop,5,nan,nan,0.0,0.0,0
noisy_small_regression,fanosv2,5,0.00656137834303081,0.05714140385389328,7.012615666401689,0.00879669189453125,5
noisy_small_regression,adamw,5,0.003344258200377226,0.05318368896842003,1.5534548496012577,0.008819580078125,5
noisy_small_regression,sgd,5,0.43156139850616454,0.33823121190071104,0.8823681166046299,0.004398345947265625,5
noisy_small_regression,rmsprop,5,0.0006883807945996523,0.06055898666381836,1.569615399799659,0.008819580078125,5
ode_exp_fit,fanosv2,5,9.880952420644462e-05,0.0071204185485839845,2.1477151915983996,7.62939453125e-06,5
ode_exp_fit,adamw,5,9.880950674414634e-05,0.007120490074157715,0.47478735859913285,1.1444091796875e-05,5
ode_exp_fit,sgd,5,9.881982259685174e-05,0.007488107681274414,0.37657826640352143,3.814697265625e-06,5
ode_exp_fit,rmsprop,5,9.945664351107553e-05,0.009848237037658691,0.4825693664024584,1.1444091796875e-05,5
poisson_pinn_1d,fanosv2,5,0.03548164740204811,0.0014446748416958144,10.290866866803844,0.00879669189453125,5
poisson_pinn_1d,adamw,5,0.0011932761291973293,1.8627491016331986e-08,4.054226941603702,0.008819580078125,5
poisson_pinn_1d,sgd,5,0.002882824302650988,5.1417737267911435e-08,3.461048558403854,0.004398345947265625,5
poisson_pinn_1d,rmsprop,5,0.005010274518281221,0.00022777838457841427,4.050452383395168,0.008819580078125,5
sequence_memory,fanosv2,5,1.0225916298622905e-06,1.0,21.71364965000248,0.0092926025390625,5
sequence_memory,adamw,5,1.6749654787417966e-05,1.0,15.67463848319603,0.00931549072265625,5
sequence_memory,sgd,5,0.6905962824821472,0.53125,14.96265048319474,0.00464630126953125,5
sequence_memory,rmsprop,5,0.40464497804641725,0.7265625,15.703109241797938,0.00931549072265625,5
